recordID,state,cases,deaths
d102909,North Carolina,8052,270
d102910,North Dakota,748,15
d102911,Northern Mariana Islands,14,2
d102912,Ohio,15169,690
d102913,Oklahoma,3121,188
d102914,Oregon,2177,86
d102915,Pennsylvania,40298,1786
d102916,Puerto Rico,1276,51
d102917,Rhode Island,6699,202
d102918,South Carolina,5070,157
d102919,South Dakota,2040,10
d102920,Tennessee,8679,180
d102921,Texas,23650,625
d102922,Utah,3782,39
d102923,Vermont,827,44
d102924,Virgin Islands,54,3
d102925,Virginia,11596,413
d102926,Washington,13120,731
d102927,West Virginia,1010,32
d102928,Wisconsin,5356,262
d102929,Wyoming,349,7
d102930,Alabama,6213,213
d102931,Alaska,337,7
d102932,Arizona,6280,275
d102933,Arkansas,2909,48
d102934,California,42590,1692
d102935,Colorado,12968,670
d102936,Connecticut,24582,1862
d102937,Delaware,3576,112
d102938,District of Columbia,3699,165
d102939,Florida,30831,1054
d102940,Georgia,22225,897
d102941,Guam,993,6
d102942,Hawaii,597,14
d102943,Idaho,1760,56
d102944,Illinois,41777,1884
d102945,Indiana,14395,785
d102946,Iowa,5109,112
d102947,Kansas,3081,119
d102948,Kentucky,3905,208
d102949,Louisiana,26512,1644
d102950,Maine,990,50
d102951,Maryland,17766,797
d102952,Massachusetts,53348,2730
d102953,Michigan,37184,3273
d102954,Minnesota,3446,244
d102955,Mississippi,5718,221
d102956,Missouri,6826,280
d102957,Montana,445,14
d102958,Nebraska,2902,53
d102959,Nevada,4539,206
d102960,New Hampshire,1793,60
d102961,New Jersey,105523,5863
d102962,New Mexico,2662,93
d102963,New York,282174,16599
d102964,North Carolina,8542,300
d102965,North Dakota,803,16
d102966,Northern Mariana Islands,14,2
d102967,Ohio,15587,711
d102968,Oklahoma,3193,194
d102969,Oregon,2253,87
d102970,Pennsylvania,41626,1842
d102971,Puerto Rico,1307,52
d102972,Rhode Island,7129,215
d102973,South Carolina,5253,166
d102974,South Dakota,2147,10
d102975,Tennessee,8977,187
d102976,Texas,24494,662
d102977,Utah,3950,41
d102978,Vermont,843,46
d102979,Virgin Islands,55,3
d102980,Virginia,12366,436
d102981,Washington,13484,743
d102982,West Virginia,1025,33
d102983,Wisconsin,5687,266
d102984,Wyoming,362,7
d102985,Alabama,6421,219
d102986,Alaska,339,7
d102987,Arizona,6526,277
d102988,Arkansas,3001,50
d102989,California,43691,1716
d102990,Colorado,13441,678
d102991,Connecticut,25269,1925
d102992,Delaware,4034,120
d102993,District of Columbia,3841,178
d102994,Florida,31520,1073
d102995,Georgia,22459,907
d102996,Guam,993,6
d102997,Hawaii,599,14
d102998,Idaho,1768,56
d102999,Illinois,43903,1943
d103000,Indiana,15012,813
d103001,Iowa,5491,118
d103002,Kansas,3188,120
d103003,Kentucky,4074,211
d103004,Louisiana,26773,1670
d103005,Maine,1015,50
d103006,Maryland,18581,827
d103007,Massachusetts,54938,2899
d103008,Michigan,37751,3314
d103009,Minnesota,3602,272
d103010,Mississippi,5911,227
d103011,Missouri,6997,282
d103012,Montana,448,14
d103013,Nebraska,3126,55
d103014,Nevada,4638,206
d103015,New Hampshire,1864,60
d103016,New Jersey,109038,5938
d103017,New Mexico,2728,99
d103018,New York,288076,16966
d103019,North Carolina,8830,309
d103020,North Dakota,867,17
d103021,Northern Mariana Islands,14,2
d103022,Ohio,15963,728
d103023,Oklahoma,3253,195
d103024,Oregon,2311,91
d103025,Pennsylvania,42709,1871
d103026,Puerto Rico,1371,53
d103027,Rhode Island,7439,226
d103028,South Carolina,5490,174
d103029,South Dakota,2213,11
d103030,Tennessee,9493,190
d103031,Texas,25206,676
d103032,Utah,4123,41
d103033,Vermont,851,46
d103034,Virgin Islands,57,4
d103035,Virginia,12970,448
d103036,Washington,13663,757
d103037,West Virginia,1053,34
d103038,Wisconsin,5911,274
d103039,Wyoming,371,7
d103040,Alabama,6539,228
d103041,Alaska,343,7
d103042,Arizona,6716,277
d103043,Arkansas,3069,51
d103044,California,45208,1800
d103045,Colorado,13804,705
d103046,Connecticut,25997,2012
d103047,Delaware,4162,125
d103048,District of Columbia,3892,185
d103049,Florida,32130,1087
d103050,Georgia,23229,981
d103051,Guam,1000,6
d103052,Hawaii,600,16
d103053,Idaho,1785,58
d103054,Illinois,45883,1992
d103055,Indiana,15961,844
d103056,Iowa,5868,127
d103057,Kansas,3393,126
d103058,Kentucky,4146,216
d103059,Louisiana,27068,1697
d103060,Maine,1023,51
d103061,Maryland,19487,858
d103062,Massachusetts,56462,3003
d103063,Michigan,38190,3406
d103064,Minnesota,3816,286
d103065,Mississippi,6094,229
d103066,Missouri,7171,296
d103067,Montana,449,14
d103068,Nebraska,3487,55
d103069,Nevada,4708,219
d103070,New Hampshire,1938,60
d103071,New Jersey,111188,6044
d103072,New Mexico,2825,104
d103073,New York,292027,17303
d103074,North Carolina,9142,331
d103075,North Dakota,942,19
d103076,Northern Mariana Islands,14,2
d103077,Ohio,16325,753
d103078,Oklahoma,3280,197
d103079,Oregon,2354,92
d103080,Pennsylvania,43728,1946
d103081,Puerto Rico,1388,53
d103082,Rhode Island,7708,233
d103083,South Carolina,5613,177
d103084,South Dakota,2246,11
d103085,Tennessee,9796,192
d103086,Texas,25960,699
d103087,Utah,4236,41
d103088,Vermont,855,47
d103089,Virgin Islands,59,4
d103090,Virginia,13535,458
d103091,Washington,13864,771
d103092,West Virginia,1077,37
d103093,Wisconsin,6081,281
d103094,Wyoming,389,7
